date,country,province,population,cases,new_cases,avg7_new_cases,avg7_new_cases_100k,deaths,new_deaths,avg7_new_deaths,avg7_new_deaths_100k
2021-10-07,India,Andaman and Nicobar Islands,417036,7629,2,1.1428571428571428,0.2740428027453608,129,0,0,0
2021-10-07,India,Andhra Pradesh,53903393,2055306,643,711.7142857142857,1.320351551365766,14236,8,8.571428571428571,0.01590146388638016
2021-10-07,India,Arunachal Pradesh,1570458,54844,32,31.142857142857142,1.9830429812740704,279,0,0.42857142857142855,0.02728958231111106
2021-10-07,India,Assam,35607039,604218,295,293.57142857142856,0.8244758250508518,5911,8,5.428571428571429,0.015245781679772443
2021-10-07,India,Bihar,124799926,725979,4,3,0.002403847579204494,9661,0,0,0
2021-10-07,India,Chandigarh,1158473,65268,16,5.428571428571429,0.4685971471559051,820,0,0.14285714285714285,0.012331503872523818
2021-10-07,India,Chhattisgarh,29436231,1005464,24,15.285714285714286,0.05192823186403954,13568,0,0.2857142857142857,9.706211563371877e-4
2021-10-07,India,Dadra and Nagar Haveli and Daman and Diu,615724,10672,0,0.2857142857142857,0.0464029801849994,4,0,0,0
2021-10-07,India,Delhi,18710922,1439097,44,32.714285714285715,0.1748405862323926,25088,0,0.14285714285714285,7.634960097484393e-4
2021-10-07,India,Goa,1586250,176924,60,70.42857142857143,4.439941461218058,3323,1,1.2857142857142858,0.08105369807497467
2021-10-07,India,Gujarat,63872399,826080,20,20.571428571428573,0.03220707049288782,10085,1,0.42857142857142855,6.709806352684961e-4
2021-10-07,India,Haryana,28204692,770961,12,12.714285714285714,0.04507861923925889,9875,0,0.14285714285714285,5.065013397669539e-4
2021-10-07,India,Himachal Pradesh,7451955,220061,142,142.85714285714286,1.9170424788816205,3694,4,2.5714285714285716,0.034506764619869165
2021-10-07,India,Jammu and Kashmir,13606320,330252,134,117.42857142857143,0.8630443163807072,4426,0,0.5714285714285714,0.004199729033482759
2021-10-07,India,Jharkhand,38593948,348314,27,12.571428571428571,0.03257357493311794,5135,0,0,0
2021-10-07,India,Karnataka,67562686,2979773,442,539,0.7977776372005103,37861,7,9.571428571428571,0.014166737792852952
2021-10-07,India,Kerala,35699443,4763695,12288,11833.857142857143,33.14857641576409,25952,141,123.57142857142857,0.346143856001979
2021-10-07,India,Ladakh,289023,20843,12,5.714285714285714,1.9771041454436893,208,0,0.14285714285714285,0.04942760363609223
2021-10-07,India,Lakshadweep,73183,10364,0,0.42857142857142855,0.5856160974152858,51,0,0,0
2021-10-07,India,Madhya Pradesh,85358965,792600,4,9.857142857142858,0.011547870639179912,10522,0,0,0
2021-10-07,India,Maharashtra,123144223,6570472,2681,2802.285714285714,2.275612810749323,139411,49,49.142857142857146,0.0399067499438095
2021-10-07,India,Manipur,3091545,121578,116,142,4.593172669328766,1876,1,3,0.09703885921117111
2021-10-07,India,Meghalaya,3366710,82162,94,124.57142857142857,3.7000938177457687,1413,1,1.2857142857142858,0.03818904169691734
2021-10-07,India,Mizoram,1239244,103709,1080,1268.4285714285713,102.35503027882896,342,1,4.571428571428571,0.3688884974572055
2021-10-07,India,Nagaland,2249695,31397,24,21.857142857142858,0.9715602718209738,668,1,0.42857142857142855,0.019050201408254388
2021-10-07,India,Odisha,46356334,1029994,582,502.57142857142856,1.0841483465267736,8234,7,5.142857142857143,0.011094184330575284
2021-10-07,India,Puducherry,1413542,126806,64,62.714285714285715,4.436676498772991,1844,0,0.5714285714285714,0.040425298394286935
2021-10-07,India,Punjab,30141373,601805,23,24.285714285714285,0.08057268753388999,16526,0,1.4285714285714286,0.004739569854934705
2021-10-07,India,Rajasthan,81032689,954349,2,3.142857142857143,0.003878505306490746,8954,0,0,0
2021-10-07,India,Sikkim,690251,31603,18,21.714285714285715,3.145853568381026,388,0,0.14285714285714285,0.020696405055138326
2021-10-07,India,Tamil Nadu,77841267,2674233,1390,1492,1.9167211140075608,35734,27,22.285714285714285,0.02862969109394672
2021-10-07,India,Telangana,38510982,667334,176,195.85714285714286,0.5085747822715683,3926,1,1.1428571428571428,0.0029676136091703474
2021-10-07,India,Tripura,4169794,84223,12,10.714285714285714,0.25695000075029395,815,0,0.2857142857142857,0.0068520000200078405
2021-10-07,India,Uttar Pradesh,237882725,1709917,15,14.714285714285714,0.006185520917622629,22896,0,0.5714285714285714,2.4021440456786907e-4
2021-10-07,India,Uttarakhand,11250858,343626,8,12.714285714285714,0.11300725432927618,7396,0,0.2857142857142857,0.0025394888613320486
2021-10-07,India,West Bengal,99609303,1574017,771,706.7142857142857,0.709486227119053,18876,13,11.857142857142858,0.011903650060820984
